OrganizationName,Spend,Impressions,Currency Codes,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,BillingAddresses,Regions (Included),Regions (Excluded),Interests,CreativeUrls
GPS Impact,3706,972310,USD,,Florida Democratic Party,,18+,united states,"330 SE 6th St,Des Moines,50309,US",Florida,,"Green Living Enthusiasts,Latin Music Fans,Sneakerheads,Urban & Hip-Hop Music Fans,Vegans & Organic Foodies,Yoga Enthusiasts",https://www.snap.com/political-ads/asset/7cefe19b99305b0d87a717d9523b88fa8702aea3ad46f9cb160b087ca22512f2?mediaType=mp4
The Prosper Group,3698,573475,USD,,No On L,,18+,united states,"435 E. Main,Greenwood,46143,US",,,,https://www.snap.com/political-ads/asset/818ae4783edd7cbf1a45d3707641a2a5409dd8114fffbc3e244f9acc5c0b138c?mediaType=mp4
Jalt,3124,2402847,EUR,,Amnesty International NL,,18+,netherlands,"Krom boomssloot 22-1,Amsterdam,1011GW,NL",,,,https://www.snap.com/political-ads/asset/90469d570baefa6ff54524a9500cada2de264c19ce69c509ae0d308f526b1a5b?mediaType=mp4
The Modesto Bee,3012,665379,USD,,STOPtheWaterGrabCoalition,,18+,united states,"948 11th Street, Suite 300,Modesto,95354,US",,,"Bookworms & Avid Readers,Green Living Enthusiasts,Investors & Entrepreneurs,Math & Science Enthusiasts,News Watchers,Outdoor & Nature Enthusiasts,Parents & Family-Focused,Pet & Animal Lovers,Philanthropists,Photographers,Travel Enthusiasts,Wellness & Healthy Lifestyle,Eco-Conscious Shoppers,Home & Garden Shoppers",https://www.snap.com/political-ads/asset/953f22802cdf5362fcc32360ff96d8138be2c693b2d6a9d523844c1d12979f01?mediaType=mp4
Columbia/Boone County Department of Public Health and Human Services,2897,1567430,USD,,Columbia/Boone Co Health Dept,,,united states,"1005 West Worley Street,Columbia,65203,US",,,,https://www.snap.com/political-ads/asset/41aa01738f53ea3b642c2adb8fb49010cbf5faa7d30b3124c9a15ed393a5b80f?mediaType=mp4
M&R Strategic Services  Inc.,2845,819238,USD,,Planned Parenthood,FEMALE,25+,united states,"1901 L St NW,Washington,20036,US",,,"Political News Watchers,ZZ_Deprecated_1",https://www.snap.com/political-ads/asset/ed57158e77b7e68fc6ebf4ede557ad888bf83d1884bbb1ab34d3811ed0b95352?mediaType=mp4
OpenPoll Inc,2796,791408,USD,,OpenPoll,,17+,united states,US,,,,https://www.snap.com/political-ads/asset/eb9d0d17ad417bef52701ec64301bfb3b741c9aab040dfc2951664037e3793a8?mediaType=mp4
Friends of Jess King,2586,691292,USD,,Friends of Jess King,,17+,united states,US,,,,https://www.snap.com/political-ads/asset/5499ca273572dbcc6ed2361293e24b1224781d40191a544d48c0cc1de0aeb2aa?mediaType=mp4
Mammoth,2551,1196776,USD,,King County Elections,,18+,united states,"501 East Pine St #201,Seattle,98122,US",,,,https://www.snap.com/political-ads/asset/d443849f548c1584bad11963f0a5661d32ff973eabb13d7ae5c35b62f513d843?mediaType=mp4
Do Something  Inc.,2420,823055,USD,,DoSomething.org,,18-20,united states,"19 West 21st Street, 8th Floor,New York,10010,US",,,,https://www.snap.com/political-ads/asset/ece5027c8704c100cd7193ebd88f04723de24faace51f2db9e715ed3be376d54?mediaType=mp4
