ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
f40bc7ff6b0d3b8f8d7cd13e8d70cb030b509b2816e13ee0fc85d56c9e6b3e5d,https://www.snap.com/political-ads/asset/8cd7fff145d5d374d8d83fe7afa57b0097e0ae77c17774210db3545bff826dc5?mediaType=mp4,USD,4,445,2020/02/07 20:33:41Z,2020/02/11 21:30:00Z,Pete for America,"202 S Michigan St,South Bend,46601,US",Pete for America,Pete for America,,18+,united states,New Hampshire,,,,,,,,,,,,"Collegiates,Green Living Enthusiasts,Political News Watchers,TV Viewers (News)",,Provided by Advertiser,,,,,web_view_url:https://peteforamerica.com/vote/?utm_source=Snapchat&utm_medium=video&utm_campaign=NH_primary&utm_content=time_to_vote_15s
212444badfb324625280657e6754f85b209fbd2442b3b43195ad128f946c59a7,https://www.snap.com/political-ads/asset/5898b2ca70809cff691caf41dc5672ed981182a98b910a3c51313834ca612002?mediaType=mp4,USD,415,221127,2020/01/04 17:25:43Z,2020/02/01 04:59:59Z,Pete for America,"202 S Michigan St,South Bend,46601,US",Pete for America,Pete for America,,18+,united states,South Carolina,,,,,,,,,,,,"Advocates & Activists,Collegiates,Green Living Enthusiasts,Political News Watchers,TV Network Viewers (CNN),TV Network Viewers (MSNBC),TV Viewers (News)",,Provided by Advertiser,,,,,web_view_url:https://peteforamerica.com/policies/empower-workers/?utm_source=snapchat&utm_medium=video&utm_campaign=workers&utm_content=15s
6ae1eed99b585a36192d416501c52fca74f40c972464f4e398aef6695df525e2,https://www.snap.com/political-ads/asset/2b7867924b320d6f65090d3e6c774f28ef7f58a03659da2a1075c3b1650b5fea?mediaType=mp4,USD,1436,1534132,2020/03/10 18:27:28Z,,Marud Khan,"7050 W. Palmetto Rd. Suite 15-504,Boca raton,33433,US",President Trump,Albbiom Marketing LLC,,18+,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://www.patrioticamerican1776.com/patriot/v6/
52a73e16e8f06e8042effa3440b854ae590ef75fae604845a80cbd63c933aa9e,https://www.snap.com/political-ads/asset/19b141de2aa660bdece3234de01e6e2fd003d008f4ff7b5e3f45ef36caea66f3?mediaType=mp4,USD,164,97949,2020/01/06 18:25:50Z,,Better US Now,US,,Better US Now,,20+,united states,,,,,,,"San Francisco - Oakland - San Jose,Portland,Los Angeles,New York,Austin,Washington,Seattle - Tacoma,Boston (manchester),Minneapolis - St. Paul,Baltimore",,,,,,"Beachgoers & Surfers,Collegiates,Yoga Enthusiasts,Vegans & Organic Foodies,Concert & Festival Goers,Political News Watchers,Eco-Conscious Shoppers,Pet Owners",,Provided by Advertiser,en,,,,web_view_url:https://rise.liberalsforlove.com/
f3d7623dd0544a6b8a94f7024adb35b261d0926769922cbbd5d52edecc258ffe,https://www.snap.com/political-ads/asset/5edc8040423f22f18af0dd16c9b56e56691ec88aabaacbc89fcbc30640ee711c?mediaType=png,USD,6,1753,2020/02/23 20:43:21Z,2020/03/04 00:30:00Z,Lockwood Strategy,US,,PACRONYM,,18+,united states,North Carolina,,,,,,,,,,,,,,,,,,,web_view_url:https://gtfo.civicengine.com/pledge?utm_source=snap&utm_medium=paid-awr&utm_campaign=gtfo&utm_term=nc-ptv-v&utm_content=44D404DB
5f0749d4bba54db99163003290537d6f681805828c651106133ecec1d7caaf13,https://www.snap.com/political-ads/asset/d6f31872c648eff3e42ca43abcc73187b1d522b607af96f667437cf7cb60e05a?mediaType=png,USD,15,25171,2020/03/02 17:05:55Z,,Greater Half,US,,Greater Half,,20+,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://www.greaterhalf.com/collections/leather-patch-hats
16c8a1a21e809029fc079d54d64d6e6299870e67f22a92c725537b315e39a936,https://www.snap.com/political-ads/asset/c3b93f771c01170bc1c3652e698daba3d28920aa268fdb48f15f0da8830cd2a9?mediaType=mov,USD,42,36442,2020/01/06 14:40:00Z,2020/02/01 04:59:59Z,R/GA,"450 W 33rd St,New York,10001,US",,Planned Parenthood,,17-,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://roo.plannedparenthood.org?utm_source=Snapchat&utm_medium=PaidSocial&utm_term=Video_Consent_6s&utm_content=Traffic_Roo_13to17All&utm_campaign=PPRoo_TrafficFlight1_RooExtension
a63c5f03ffcb2880488c2ea6021fb0cab08c3a74f7b8bc4681024889c5ba6205,https://www.snap.com/political-ads/asset/2bd76e3379c48a43e69a93c9e1566a018e0754d522b5bac0485a42ca321c7a9a?mediaType=mp4,USD,13551,6611721,2020/01/08 15:00:00Z,2020/05/01 03:59:59Z,Assembly," 711 3rd Ave, New York, NY 10017,new york city,10017,US",,truth,,18-24,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://www.thetruth.com/articles/videos/ditch-juul?cid=social_asm_snapchat_ditchjuul_bellyflop_6_1824
cd55959b8a40b4016e1b77525692e76adb8ff5ce421c242da73f07fd5f56cc2d,https://www.snap.com/political-ads/asset/c22da21a3620e26ebeee80b8c9e39904e87ff4b698716fb38fe47a014ace38fa?mediaType=mp4,USD,75,19382,2020/03/16 20:10:17Z,2020/03/20 19:52:13Z,Run the World Digital,US,Matt Lieberman for Senate,Matt Lieberman for Senate,,35+,united states,Georgia,,,,,,,,,,,,"Advocates & Activists,Talk Show Fans,Green Living Enthusiasts,Investors & Entrepreneurs,Business News Watchers,Political News Watchers,Philanthropists,TV Network Viewers (BBC America),TV Network Viewers (CNN),TV Network Viewers (MSNBC),TV Viewers (News)",,Provided by Advertiser,en,Moms (Gen X 1965-1979),,,web_view_url:https://secure.actblue.com/donate/ad2003_gapollsnapad
88696e4fadfc8c563bae6aeee77f2cb6b810fc5348685af0da57692bf33c2e93,https://www.snap.com/political-ads/asset/aff45627eeb9dba9025bb1a88724f9b95d09c25611e13f9b4aeabf51f06e247d?mediaType=mp4,USD,105,53610,2020/01/03 16:24:16Z,2020/02/04 04:59:16Z,Pete for America,"202 S Michigan St,South Bend,46601,US","Pete for America ",Pete for America,,18+,united states,Iowa,,,,,,,,,,,,"Collegiates,Green Living Enthusiasts,Political News Watchers,TV Viewers (News)",,Provided by Advertiser,,,,,web_view_url:https://peteforamerica.com/policies/douglass-plan/?utm_source=snapchat&utm_medium=video&utm_campaign=generational_theft&utm_content=41s
